Player: 15, Hour: "2025-03-17 23:54:04.052094", Sound:18.94952326284017, IDGame:1, IDSound:0
Player: 15, Hour: "2025-03-17 23:54:38.306233", Sound:21.36, IDGame:1, IDSound:32
Player:15, Marsami:22, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:72
Player:15, Marsami:13, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:73
Player: 15, Hour: "2025-03-17 23:54:39.379248", Sound:21.44, IDGame:1, IDSound:33
Player:15, Marsami:30, RoomOrigin:1, RoomDestiny: 2, Status:1, IDGame:1, IDSound:74
Player:15, Marsami:7, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:75
Player:15, Marsami:26, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:76
Player: 15, Hour: "2025-03-17 23:54:40.440193", Sound:21.5, IDGame:1, IDSound:34
Player:15, Marsami:14, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:77
Player:15, Marsami:7, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:78
Player: 15, Hour: "2025-03-17 23:54:41.495955", Sound: '99.9', IDGame:1, IDSound:35
Player: 15, Hour: "2025-03-17 23:54:42.663392", Sound:21.58, IDGame:1, IDSound:36
Player:15, Marsami:6, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:79
Player:15, Marsami:14, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:80
Player:15, Marsami:14, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:81
Player:15, Marsami:11, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:82
Player:15, Marsami:11, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:83
Player:15, Marsami:5, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:84
Player:15, Marsami:5, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:85
Player:15, Marsami:9, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:86
Player:15, Marsami:9, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:87
Player:15, Marsami:8, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:88
Player:15, Marsami:8, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:89
Player:15, Marsami:13, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:90
Player:15, Marsami:13, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:91
Player:15, Marsami:12, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:92
Player:15, Marsami:12, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:93
Player:15, Marsami:22, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:94
Player:15, Marsami:22, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:95
Player:15, Marsami:23, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:96
Player:15, Marsami:23, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:97
Player:15, Marsami:10, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:98
Player:15, Marsami:10, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:99
Player:15, Marsami:26, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:100
Player:15, Marsami:26, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:101
Player:15, Marsami:17, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:102
Player:15, Marsami:17, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:103
Player:15, Marsami:25, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:104
Player:15, Marsami:25, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:105
Player:15, Marsami:28, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:106
Player:15, Marsami:28, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:107
Player:15, Marsami:3, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:108
Player:15, Marsami:3, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:109
Player:15, Marsami:21, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:110
Player:15, Marsami:21, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:111
Player:15, Marsami:7, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:112
Player:15, Marsami:7, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:113
Player:15, Marsami:20, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:114
Player:15, Marsami:20, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:115
Player:15, Marsami:29, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:116
Player:15, Marsami:29, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:117
Player:15, Marsami:19, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:118
Player:15, Marsami:19, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:119
Player:15, Marsami:27, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:120
Player:15, Marsami:27, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:121
Player:15, Marsami:1, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:122
Player:15, Marsami:1, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:123
Player:15, Marsami:30, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:124
Player:15, Marsami:30, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:125
Player:15, Marsami:4, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:126
Player:15, Marsami:4, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:127
Player:15, Marsami:2, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:128
Player:15, Marsami:2, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:129
Player:15, Marsami:15, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:130
Player:15, Marsami:15, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:131
Player:15, Marsami:24, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:132
Player:15, Marsami:24, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:133
Player:15, Marsami:18, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:134
Player:15, Marsami:18, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:135
Player:15, Marsami:16, RoomOrigin:0, RoomDestiny: 0, Status:2, IDGame:1, IDSound:136
Player:15, Marsami:16, RoomOrigin:0, RoomDestiny: 0, Status:0, IDGame:1, IDSound:137
Player:15, Marsami:2, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:138
Player:15, Marsami:1, RoomOrigin:8, RoomDestiny: 10, Status:1, IDGame:1, IDSound:139
Player:15, Marsami:26, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:140
Player:15, Marsami:26, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:141
Player:15, Marsami:9, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:142
Player:15, Marsami:12, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:143
Player: 15, Hour: "2025-03-17 23:56:46.107052", Sound:19.04, IDGame:1, IDSound:37
Player:15, Marsami:23, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:144
Player:15, Marsami:20, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:145
Player:15, Marsami:27, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:146
Player: 15, Hour: "2025-03-17 23:56:47.171736", Sound:19.14293810814491, IDGame:1, IDSound:38
Player:15, Marsami:9, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:147
Player:15, Marsami:5, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:148
Player:15, Marsami:29, RoomOrigin:6, RoomDestiny: 8, Status:1, IDGame:1, IDSound:149
Player: 15, Hour: "2025-03-17 23:56:48.248955", Sound:19.18, IDGame:1, IDSound:39
Player:15, Marsami:28, RoomOrigin:2, RoomDestiny: 4, Status:1, IDGame:1, IDSound:150
Player:15, Marsami:18, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:151
Player:15, Marsami:24, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:152
Player:15, Marsami:8, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:153
Player:15, Marsami:9, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:154
Player: 15, Hour: "2025-03-17 23:56:49.312999", Sound:19.26, IDGame:1, IDSound:40
Player:15, Marsami:15, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:155
Player:15, Marsami:29, RoomOrigin:8, RoomDestiny: 9, Status:1, IDGame:1, IDSound:156
Player:15, Marsami:5, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:157
Player: 15, Hour: "2025-03-17 23:56:50.382575", Sound:19.388579926105155, IDGame:1, IDSound:41
Player:15, Marsami:26, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:158
Player:15, Marsami:7, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:159
Player:15, Marsami:22, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:160
Player:15, Marsami:10, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:161
Player: 15, Hour: "2025-03-17 23:56:51.455848", Sound:19.573520193839396, IDGame:1, IDSound:42
Player:15, Marsami:28, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:162
Player:15, Marsami:28, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:163
Player:15, Marsami:4, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:164
Player:15, Marsami:18, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:165
Player: 15, Hour: "2025-03-17 23:56:52.527625", Sound:19.51959775184928, IDGame:1, IDSound:43
Player:15, Marsami:11, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:166
Player:15, Marsami:9, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:167
Player:15, Marsami:9, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:168
Player:15, Marsami:5, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:169
Player: 15, Hour: "2025-03-17 23:56:53.602640", Sound:19.590476159303808, IDGame:1, IDSound:44
Player:15, Marsami:26, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:170
Player:15, Marsami:16, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:171
Player:15, Marsami:12, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:172
Player:15, Marsami:19, RoomOrigin:8, RoomDestiny: 10, Status:1, IDGame:1, IDSound:173
Player: 15, Hour: "2025-03-17 23:56:54.667986", Sound:19.71030972533441, IDGame:1, IDSound:45
Player:15, Marsami:8, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:174
Player:15, Marsami:18, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:175
Player:15, Marsami:25, RoomOrigin:6, RoomDestiny: 8, Status:1, IDGame:1, IDSound:176
Player:15, Marsami:19, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:177
Player: 15, Hour: "2025-03-17 23:56:55.742287", Sound:19.781269335252446, IDGame:1, IDSound:46
Player:15, Marsami:13, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:178
Player:15, Marsami:2, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:179
Player:15, Marsami:14, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:180
Player:15, Marsami:16, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:181
Player: 15, Hour: "2025-03-17 23:56:56.836967", Sound:19.8, IDGame:1, IDSound:47
Player:15, Marsami:16, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:182
Player:15, Marsami:27, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:183
Player:15, Marsami:20, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:184
Player: 15, Hour: "2025-03-17 23:56:57.926089", Sound:19.88, IDGame:1, IDSound:48
Player:15, Marsami:2, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:185
Player:15, Marsami:12, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:186
Player:15, Marsami:10, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:187
Player:15, Marsami:18, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:188
Player: 15, Hour: "2025-03-17 23:56:58.993952", Sound:19.96, IDGame:1, IDSound:49
Player:15, Marsami:23, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:189
Player:15, Marsami:24, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:190
Player:15, Marsami:20, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:191
Player:15, Marsami:9, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:192
Player: 15, Hour: "2025-03-17 23:57:00.080101", Sound:20.04, IDGame:1, IDSound:50
Player:15, Marsami:8, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:193
Player:15, Marsami:9, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:194
Player:15, Marsami:23, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:195
Player:15, Marsami:14, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:196
Player: 15, Hour: "2025-03-17 23:57:01.148654", Sound:19.996362895052336, IDGame:1, IDSound:51
Player:15, Marsami:12, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:197
Player:15, Marsami:17, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:198
Player:15, Marsami:30, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:199
Player:15, Marsami:13, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:200
Player:15, Marsami:2, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:201
Player:15, Marsami:18, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:202
Player: 15, Hour: "2025-03-17 23:57:02.225225", Sound:20.2, IDGame:1, IDSound:52
Player:15, Marsami:16, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:203
Player:15, Marsami:25, RoomOrigin:8, RoomDestiny: 9, Status:1, IDGame:1, IDSound:204
Player:15, Marsami:8, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:205
Player:15, Marsami:8, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:206
Player:15, Marsami:19, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:207
Player: 15, Hour: "2025-03-17 23:57:03.303543", Sound:20.418457264388003, IDGame:1, IDSound:53
Player:15, Marsami:22, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:208
Player:15, Marsami:6, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:209
Player:15, Marsami:23, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:210
Player:15, Marsami:23, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:211
Player:15, Marsami:4, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:212
Player:15, Marsami:5, RoomOrigin:2, RoomDestiny: 4, Status:1, IDGame:1, IDSound:213
Player:15, Marsami:27, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:214
